"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"OXOONNXXN","0","0","0","0","6","6","0","0","6"
"OXNNXNXOO","0","0","6","6","0","6","0","0","0"
"OXNNOXOXN","0","0","0","6","0","0","0","0","6"
"ONNXXNOXO","0","6","6","0","0","0","0","0","0"
"NOXXNNXOO","6","0","0","0","6","6","0","0","0"
"XNOOONNXX","0","6","0","0","0","6","6","0","0"
"NXXOXONON","6","0","0","0","0","0","6","0","6"
"XOOONXNNX","0","0","0","0","6","0","6","6","0"
"XOXNONOXN","0","0","0","6","0","6","0","0","6"
"ONOXXONXN","0","6","0","0","0","0","6","0","6"
"NXOOXNXON","6","0","0","0","0","6","0","0","6"
"XOONNONXX","0","0","0","6","6","0","6","0","0"
"XNXNOOXNO","0","6","0","6","0","0","0","6","0"
"XNOONXOXN","0","6","0","0","6","0","0","0","6"
"ONOXXNXON","0","6","0","0","0","6","0","0","6"
"OOXOXXNNN","0","0","0","0","0","0","6","6","6"
"XXNXOONNO","0","0","6","0","0","0","6","6","0"
"ONNXNXXOO","0","6","6","0","6","0","0","0","0"
"NOXOXXONN","6","0","0","0","0","0","0","6","6"
"OXXXNNNOO","0","0","0","0","6","6","6","0","0"
"OXXXNOONN","0","0","0","0","6","0","0","6","6"
"NNONXXOOX","6","6","0","6","0","0","0","0","0"
"NXNONOOXX","6","0","6","0","6","0","0","0","0"
"NNOOXNXOX","6","6","0","0","0","6","0","0","0"
"NXXOXONNO","6","0","0","0","0","0","6","6","0"
"XNOXXNNOO","0","6","0","0","0","6","6","0","0"
"XNOXXOONN","0","6","0","0","0","0","0","6","6"
"OXNNOXXON","0","0","6","6","0","0","0","0","6"
"XOONNNXOX","0","0","0","6","6","6","0","0","0"
"NXOONXXNO","6","0","0","0","6","0","0","6","0"
"XNXNOOXON","0","6","0","0","0","0","0","0","6"
"ONOXXNXNO","0","6","0","0","0","6","0","6","0"
"XONNONXXO","0","0","6","6","0","6","0","0","0"
"NXNXONOXO","6","0","6","0","0","6","0","0","0"
"XNNOOXOXN","0","6","6","0","0","0","0","0","6"
"OONXOXNXN","0","0","6","0","0","0","6","0","6"
"XNOOXNOXN","0","6","0","0","0","6","0","0","6"
"NONNXOXXO","6","0","6","6","0","0","0","0","0"
"NOXNOONXX","6","0","0","6","0","0","6","0","0"
"XXOXOONNN","0","0","0","0","0","0","6","6","6"
"ONXOOXNXN","0","6","0","0","0","0","6","0","6"
"NONOXXOXN","6","0","6","0","0","0","0","0","6"
"OXXOONXNN","0","0","0","0","0","6","0","6","6"
"XXNNONOOX","0","0","6","6","0","6","0","0","0"
"NXOONXXON","6","0","0","0","6","0","0","0","0"
"XXOXNNONO","0","0","0","0","6","6","0","0","0"
"OXONNXOXN","0","0","0","6","6","0","0","0","6"
"XXNNOXNOO","0","0","6","6","0","0","6","0","0"
"XNNXXOONO","0","6","6","0","0","0","0","6","0"
"OXNXNOOXN","0","0","6","0","6","0","0","0","0"
"ONXXNXOON","0","6","0","0","6","0","0","0","6"
"XONONXNOX","0","0","6","0","6","0","6","0","0"
"XNOXOXNNO","0","6","0","0","0","0","6","6","0"
"ONXXXNONO","0","6","0","0","0","6","0","6","0"
"OOXNNOXNX","0","0","0","6","6","0","0","6","0"
"OONOXNXNX","0","0","6","0","0","6","0","6","0"
"ONNXOXXON","0","6","6","0","0","0","0","0","6"
"XNXNNOOXO","0","6","0","6","6","0","0","0","0"
"ONOXONNXX","0","6","0","0","0","6","6","0","0"
"XNNOXNOXO","0","6","6","0","0","6","0","0","0"
"NXOXNONOX","6","0","0","0","6","0","6","0","0"
"NOONXOXXN","6","0","0","6","0","0","0","0","6"
"XNXOOXONN","0","6","0","0","0","0","0","6","6"
"XXOXNNOON","0","0","0","0","6","6","0","0","6"
"OXNXOOXNN","0","0","6","0","0","0","0","6","6"
"NXXONOONX","6","0","0","0","6","0","0","6","0"
"NOOXXNONX","6","0","0","0","0","6","0","6","0"
"NONXXNOOX","6","0","6","0","0","6","0","0","0"
"ONOXOXXNN","0","6","0","0","0","0","0","6","6"
"XOXNNONOX","0","0","0","6","6","0","6","0","0"
"ONXXNXONO","0","6","0","0","6","0","0","6","0"
"ONNNOXOXX","0","6","6","6","0","0","0","0","0"
"ONXXXNOON","0","6","0","0","0","6","0","0","6"
"XNOXOXNON","0","6","0","0","0","0","6","0","6"
"XNONOOXXN","0","6","0","6","0","0","0","0","6"
"XXNXOONON","0","0","0","0","0","0","6","0","6"
